Connected to the server
Starting a file (upload.txt) upload...
received ack: 1411908: from the server
received ack: 332742: from the server
received ack: 5300824: from the server
received ack: 8625842: from the server
received ack: 4722118: from the server
received ack: 2534468: from the server
received ack: 443972: from the server
received ack: 3045540: from the server
received ack: 3351936: from the server
received ack: 2206580: from the server
received ack: 1433148: from the server
received ack: 6767868: from the server
received ack: 1330162: from the server
received ack: 2434096: from the server
received ack: 290528: from the server
received ack: 6109894: from the server
received ack: 9238056: from the server
received ack: 2544672: from the server
received ack: 5375194: from the server
received ack: 663626: from the server
received ack: 2052728: from the server
received ack: 6606760: from the server
received ack: 7912372: from the server
received ack: 2684004: from the server
received ack: 4802828: from the server
received ack: 201460: from the server
received ack: 1715580: from the server
received ack: 17818: from the server
received ack: 147898: from the server
received ack: 639666: from the server
received ack: 1304610: from the server
received ack: 2744896: from the server
received ack: 6436650: from the server
received ack: 3070156: from the server
received ack: 6510392: from the server
received ack: 1936906: from the server
received ack: 9430992: from the server
received ack: 2922388: from the server
received ack: 4768400: from the server
received ack: 3869960: from the server
received ack: 3618568: from the server
received ack: 9687228: from the server
received ack: 9997680: from the server
received ack: 8203032: from the server
received ack: 6267530: from the server
received ack: 4233430: from the server
received ack: 1925264: from the server
received ack: 644770: from the server
received ack: 3738950: from the server
received ack: 8816184: from the server
received ack: 8636090: from the server
received ack: 7159664: from the server
received ack: 7310418: from the server
received ack: 6940884: from the server
received ack: 3592572: from the server
received ack: 7932064: from the server
received ack: 6944372: from the server
received ack: 9305830: from the server
received ack: 1527084: from the server
received ack: 7064814: from the server
received ack: 9584698: from the server
received ack: 3983578: from the server
received ack: 6644816: from the server
received ack: 4742594: from the server
received ack: 1980748: from the server
received ack: 5520460: from the server
received ack: 7481722: from the server
received ack: 7378816: from the server
received ack: 6740032: from the server
received ack: 5525666: from the server
received ack: 587142: from the server
received ack: 4311812: from the server
received ack: 6146220: from the server
received ack: 2019980: from the server
received ack: 3795698: from the server
received ack: 882288: from the server
received ack: 7250908: from the server
received ack: 6303360: from the server
received ack: 406896: from the server
received ack: 8655648: from the server
received ack: 5784686: from the server
received ack: 9525194: from the server
received ack: 5269540: from the server
received ack: 6309542: from the server
received ack: 1073178: from the server
received ack: 1061140: from the server
received ack: 3903932: from the server
received ack: 8118416: from the server
received ack: 607454: from the server
received ack: 6666300: from the server
received ack: 1894844: from the server
received ack: 6586290: from the server
received ack: 2134142: from the server
received ack: 2005294: from the server
received ack: 3977460: from the server
received ack: 7827524: from the server
received ack: 5857850: from the server
received ack: 1793962: from the server
received ack: 5709310: from the server
received ack: 6473016: from the server
received ack: 4128392: from the server
received ack: 6912300: from the server
received ack: 2178616: from the server
received ack: 9096106: from the server
received ack: 7561794: from the server
received ack: 5433878: from the server
received ack: 90408: from the server
received ack: 7982992: from the server
received ack: 5820956: from the server
received ack: 3719394: from the server
received ack: 3324812: from the server
received ack: 8824388: from the server
received ack: 2580920: from the server
received ack: 2267906: from the server
received ack: 3811550: from the server
received ack: 3628564: from the server
received ack: 6338694: from the server
received ack: 833690: from the server
received ack: 2334392: from the server
received ack: 8119540: from the server
received ack: 7043672: from the server
received ack: 354376: from the server
received ack: 6170074: from the server
received ack: 4343416: from the server
received ack: 7615498: from the server
received ack: 554848: from the server
received ack: 5680734: from the server
received ack: 7655386: from the server
received ack: 4143866: from the server
received ack: 8268196: from the server
received ack: 6261390: from the server
received ack: 8634188: from the server
received ack: 1047724: from the server
received ack: 3339808: from the server
received ack: 6485662: from the server
received ack: 862836: from the server
received ack: 5688150: from the server
received ack: 4700632: from the server
received ack: 5496958: from the server
received ack: 3970732: from the server
received ack: 5407852: from the server
received ack: 1852968: from the server
received ack: 4717214: from the server
received ack: 2935290: from the server
received ack: 3268380: from the server
received ack: 1139342: from the server
received ack: 9883438: from the server
received ack: 8832698: from the server
received ack: 7951236: from the server
received ack: 9648446: from the server
received ack: 9734940: from the server
received ack: 3673064: from the server
received ack: 4315022: from the server
received ack: 5131342: from the server
received ack: 7306650: from the server
received ack: 2956858: from the server
received ack: 8786638: from the server
received ack: 3775668: from the server
received ack: 8883774: from the server
received ack: 2487470: from the server
received ack: 6058112: from the server
received ack: 1303008: from the server
received ack: 656048: from the server
received ack: 7331066: from the server
received ack: 7456218: from the server
received ack: 7200208: from the server
received ack: 7952296: from the server
received ack: 7376572: from the server
received ack: 3679540: from the server
received ack: 8904566: from the server
received ack: 99498: from the server
received ack: 9389880: from the server
received ack: 9182432: from the server
received ack: 5818034: from the server
received ack: 5929036: from the server
received ack: 670918: from the server
received ack: 462300: from the server
received ack: 8657424: from the server
received ack: 9244164: from the server
received ack: 8897110: from the server
received ack: 7644914: from the server
received ack: 2386520: from the server
received ack: 6600560: from the server
received ack: 2605062: from the server
